iter	Passed	Remaining
0	6	1884
1	8	1307
2	11	1105
3	13	1000
4	15	932
5	18	892
6	20	869
7	23	869
8	27	873
9	29	866
10	33	869
11	36	869
12	39	868
13	42	873
14	45	871
15	49	874
16	52	872
17	55	868
18	58	867
19	61	864
20	64	861
21	67	858
22	70	854
23	73	849
24	77	847
25	80	843
26	83	841
27	86	837
28	89	834
29	91	825
30	94	817
31	96	809
32	99	801
33	101	793
34	103	786
35	106	779
36	108	773
37	111	766
38	113	762
39	116	757
40	118	751
41	121	745
42	123	740
43	126	735
44	129	732
45	132	729
46	134	724
47	136	718
48	139	713
49	141	709
50	144	704
51	146	699
52	149	695
53	151	690
54	154	686
55	156	682
56	159	678
57	161	674
58	164	670
59	166	666
60	169	662
61	171	658
62	173	654
63	176	650
64	178	646
65	181	643
66	184	640
67	186	636
68	188	632
69	191	628
70	193	625
71	196	622
72	198	618
73	201	614
74	203	611
75	206	608
76	208	604
77	211	600
78	213	597
79	216	595
80	219	592
81	221	589
82	224	586
83	227	584
84	229	581
85	232	578
86	234	574
87	237	571
88	239	568
89	242	565
90	245	562
91	247	559
92	250	556
93	252	553
94	254	550
95	257	546
96	260	544
97	262	541
98	265	538
99	267	534
100	269	531
101	272	528
102	274	525
103	277	522
104	279	519
105	282	516
106	284	513
107	287	510
108	289	507
109	292	504
110	294	501
111	297	498
112	299	495
113	302	493
114	304	489
115	306	486
116	309	484
117	312	481
118	314	478
119	317	475
120	319	472
121	321	469
122	324	467
123	327	464
124	329	461
125	331	458
126	334	455
127	336	452
128	339	449
129	341	447
130	344	444
131	347	441
132	349	438
133	352	436
134	354	433
135	356	430
136	359	427
137	361	424
138	364	422
139	366	419
140	369	416
141	371	413
142	374	410
143	376	408
144	379	405
145	381	402
146	384	399
147	386	397
148	389	394
149	391	391
150	394	388
151	396	386
152	399	383
153	401	380
154	404	377
155	406	375
156	409	372
157	411	370
158	414	367
159	416	364
160	419	361
161	421	359
162	424	356
163	427	354
164	430	351
165	432	349
166	435	346
167	437	343
168	440	341
169	442	338
170	445	335
171	447	333
172	450	330
173	452	327
174	455	325
175	458	322
176	460	320
177	463	317
178	465	314
179	468	312
180	470	309
181	473	306
182	475	304
183	478	301
184	480	298
185	483	296
186	485	293
187	488	290
188	490	288
189	493	285
190	495	282
191	497	280
192	500	277
193	502	274
194	505	272
195	507	269
196	509	266
197	512	264
198	514	261
199	517	258
200	519	255
201	522	253
202	524	250
203	527	248
204	529	245
205	532	242
206	534	240
207	537	237
208	539	234
209	542	232
210	544	229
211	547	227
212	549	224
213	552	221
214	554	219
215	557	216
216	559	214
217	561	211
218	564	208
219	566	205
220	568	203
221	571	200
222	574	198
223	576	195
224	579	193
225	581	190
226	583	187
227	586	185
228	588	182
229	591	179
230	593	177
231	596	174
232	598	172
233	601	169
234	603	166
235	605	164
236	608	161
237	610	159
238	613	156
239	615	153
240	618	151
241	620	148
242	623	146
243	625	143
244	628	140
245	630	138
246	632	135
247	635	133
248	637	130
249	640	128
250	642	125
251	645	122
252	647	120
253	649	117
254	652	115
255	654	112
256	656	109
257	659	107
258	661	104
259	664	102
260	666	99
261	669	97
262	671	94
263	674	91
264	676	89
265	678	86
266	681	84
267	683	81
268	686	79
269	688	76
270	691	73
271	693	71
272	696	68
273	698	66
274	700	63
275	703	61
276	706	58
277	708	56
278	711	53
279	713	50
280	716	48
281	718	45
282	721	43
283	723	40
284	726	38
285	728	35
286	731	33
287	733	30
288	736	28
289	738	25
290	741	22
291	744	20
292	746	17
293	749	15
294	751	12
295	754	10
296	756	7
297	759	5
298	761	2
299	763	0
